timestamp,views,vph
2026-07-25T16:32:56.162365Z,553704,0.0
2026-07-25T17:40:46.462765Z,1427450,772789.5
2026-07-25T18:38:02.847385Z,2224605,835109.7
2026-07-25T19:54:26.920183Z,3508277,1008103.4
2026-07-25T20:42:20.625386Z,4298596,990062.7
2026-07-25T21:36:30.242941Z,5144750,937388.6
2026-07-25T22:36:05.537071Z,5825645,685600.1
2026-07-25T23:41:49.352110Z,6483254,600279.8
2026-07-26T01:14:36.893071Z,7195229,460366.6
2026-07-26T04:42:53.493962Z,9030115,528590.9
2026-07-26T07:20:12.467267Z,10462919,546467.7
2026-07-26T09:30:35.104772Z,11590718,519016.3
2026-07-26T11:04:34.872838Z,12255575,424394.3
