timestamp,views,vph
2026-06-27T16:45:11.108495Z,1159745,0.0
2026-06-27T17:46:49.812914Z,2367684,1175703.7
2026-06-27T19:10:12.554372Z,4581430,1593023.7
2026-06-27T20:19:11.097970Z,6605958,1761078.7
2026-06-27T21:36:33.428977Z,8582561,1532801.3
2026-06-27T22:42:44.872703Z,10150707,1421479.4
2026-06-27T23:41:31.829688Z,11354804,1229033.8
2026-06-28T01:51:47.175363Z,13418240,950485.1
2026-06-28T06:11:41.744165Z,17755880,1001342.5
2026-06-28T09:32:09.126795Z,21007033,973125.3
2026-06-28T11:23:55.751634Z,22430280,763974.3
2026-06-28T12:52:45.173476Z,23576174,774046.1
2026-06-28T14:44:38.962657Z,24907705,713980.1
2026-06-28T15:57:58.737765Z,25862591,781310.3
2026-06-28T17:12:11.184259Z,26794798,753730.6
2026-06-28T18:17:09.034066Z,27727222,861173.9
2026-06-28T19:52:31.592740Z,28919035,749756.7
2026-06-28T20:55:07.849621Z,29573433,627175.6
2026-06-28T21:57:54.807963Z,30157559,558236.5
2026-06-28T23:02:01.342159Z,30744982,549773.6
2026-06-29T00:18:56.529601Z,31372477,489467.0
2026-06-29T05:09:48.165460Z,33345493,407002.4
2026-06-29T09:57:47.397787Z,35158698,377767.8
2026-06-29T14:03:27.295593Z,36730671,383930.9
2026-06-29T17:11:39.453980Z,38055826,422466.4
2026-06-29T19:15:25.281413Z,38958073,437404.3
2026-06-29T20:57:43.490152Z,39529890,335365.1
2026-06-29T22:07:39.741316Z,39928484,341957.2
