timestamp,views,vph
2026-08-22T16:16:38.893574Z,401603,0.0
2026-08-22T16:47:29.084110Z,1115670,1389392.7
2026-08-22T17:14:27.714302Z,1644842,1176932.9
2026-08-22T17:36:55.604293Z,1978556,891297.1
2026-08-22T17:57:01.841560Z,2299862,958933.7
2026-08-22T18:25:39.735027Z,2784197,1014967.5
2026-08-22T18:56:08.659482Z,3630566,1665967.3
2026-08-22T19:18:49.921235Z,4228240,1580611.8
2026-08-22T19:44:13.077198Z,4831642,1426148.9
2026-08-22T19:57:37.762856Z,5214138,1711209.3
2026-08-22T20:20:58.047317Z,5737592,1345751.1
2026-08-22T20:46:44.701171Z,6319041,1353383.9
